	country	capital	languages	ethnic groups	religion groups
22	Botswana	Gaborone	 ,English ,Setswana	 ,Tswana ,Kalanga ,Basarwa ,White	 ,Christian ,No religion ,African traditional religion ,Baha'i ,Hindu ,Islam ,Rastafarian
23	Brazil				 ,Portuguese
24	Brunei	Bandar Seri Begawan	 ,Malay	 ,English	 ,Brunei Malay ,Tutong ,Kedayan ,Belait ,Chinese ,Hokkien ,Hakka Chinese ,Standard Chinese ,Cantonese ,Murut ,Dusun ,Brunei Bisaya
25	Bulgaria	Sofia	 ,Bulgarian	 ,Cyrillic	 ,Bulgarians ,Turks ,Roma
26	Burkina_Faso			 ,French	 ,Mòoré ,Fula ,Dioula
27	Burundi	Gitega	 ,Bujumbura	 ,Kirundi ,French ,English	 ,Hutu ,Tutsi ,Twa
28	Cabo_Verde	Praia	 ,Portuguese	 ,Cape Verdean Creole	 ,Cape Verdean
29	Cambodia	Phnom Penh	 ,Khmer	 ,English ,French	 ,Khmer
30	Cameroon			 ,Douala	 ,English ,French
31	Canada	Ottawa	 ,Toronto	 ,English ,French	 ,European ,Asian ,Indigenous ,Caribbean and Latin American ,African ,Oceanian
32	Central_African_Republic			 ,French ,Sango	 ,Baggara Arabs ,Baka ,Banda ,Bayaka ,Fula ,Gbaya ,Kara ,Kresh ,Mbaka ,Mandja ,Ngbandi ,Sara ,Vidiri ,Wodaabe ,Yakoma ,Yulu ,Zande ,others
33	Chad	N'Djamena	 ,Arabic ,French	 ,Sara ,Kanembu ,Buduma ,Arab ,Masalit ,Gorane ,Masa ,Musgum ,Other Chadian ethnicities	 ,Chadian
34	Chile			 ,Himno Nacional de Chile	
35	China	Shanghai	 ,Standard Chinese	 ,Mongolian ,Uyghur ,Tibetan ,Zhuang ,various others	 ,Simplified Chinese
36	Colombia			 ,Spanish ,English ,archipelago of San Andrés, Providencia and Santa Catalina	
37	Comoros			 ,Comorian ,Arabic ,French	 ,Afro-Arab ,Malagasy
38	Democratic_Republic_of_the_Congo	Kinshasa	 ,French	 ,Lingala ,Kikongo ,Swahili ,Tshiluba	 ,Ethnic groups
39	Republic_of_the_Congo	Brazzaville	 ,French	 ,Kituba ,Kikongo ,Lingala	 ,Kongo ,Sangha ,Teke ,M'Bochi
40	Costa_Rica	San José	 ,Spanish	 ,Mekatelyu ,Bribri ,Patois	 ,White/Castizo ,Mestizo ,Mulatto ,Amerindian ,Black
41	Ivory_Coast				 ,Abidjan
42	Croatia	Zagreb	 ,Croatian	 ,Latin	 ,Croats ,Serbs ,others
43	Cuba			 ,Spanish	 ,White ,Mulatto ,Mestizo ,Zambo ,Pardo ,Black
44	Cyprus	Greek	 ,Armenian ,Cypriot Arabic ,Russian	 ,Cypriot Greek ,Cypriot Turkish	 ,Greek Cypriots ,Turkish Cypriots ,Armenians ,Maronites
45	Czechia			 ,Czech	 ,Slovak ,German ,Polish ,Belarusian ,Greek ,Hungarian ,Romani ,Russian ,Rusyn ,Serbian ,Ukrainian ,Vietnamese
46	Denmark	Copenhagen	 ,Danish	 ,Faroese ,Greenlandic ,German	 ,Church of Denmark ,Church of the Faroe Islands
47	Djibouti			 ,French ,Arabic ,Somali	 ,Afar
48	Dominica			 ,English	 ,Dominican Creole French
49	Dominican_Republic			 ,Spanish	 ,Multiracial ,Mulatto ,Mestizo ,White ,Black ,Chinese ,Japanese
50	Ecuador			 ,Spanish	 ,Kichwa ,Shuar
51	Egypt			 ,Arabic	 ,Egyptian Arabic
52	El_Salvador			 ,Spanish	 ,Mestizo ,White ,Indigenous ,Black
53	Equatorial_Guinea	Malabo	 ,Bata	 ,Spanish ,French ,Portuguese	 ,Fang ,Bube ,Combe ,Pidgin English ,Annobonese ,Igbo
54	Eritrea	Asmara		 ,Tigrinya ,Beja ,Arabic ,Tigre ,Kunama ,Saho ,Bilen ,Nara ,Afar ,English	 ,Tigrinya ,Arabic ,English
55	Estonia	Estonian	 ,Estonians ,Russians ,Ukrainians ,Belarusians ,Finns	 ,Estonian	 ,Unitary ,parliamentary ,republic
56	Eswatini			 ,Mbabane	 ,Swazi ,English
57	Ethiopia				 ,March Forward, Dear Mother Ethiopia
58	Fiji			 ,Fijian ,English ,Fiji Hindi	 ,Rotuman
59	Finland	Finnish	 ,Sámi	 ,Evangelical Lutheran Church ,Orthodox Church	 ,Finnish ,Finn
60	France				 ,French
61	Gabon	Libreville	 ,French	 ,Fang ,Myene ,Punu ,Nzebi	
62	Gambia			 ,Serekunda	 ,English
63	Georgia				
64	Germany			 ,German	 ,Germans ,Turks ,Poles ,Russians
65	Ghana	Accra	 ,English	 ,Asante Twi ,Akuapem Twi ,Bono ,Dagaare ,Dagbani ,Dangme ,Ewe ,Ga ,Gonja ,Kasem ,Mampruli ,Fante ,Nzema ,Wasa ,Talensi ,Frafra ,Kusaal ,Hausa ,Ghanaian Sign Language	 ,Akans ,Mole-Dagbani ,Ewe ,Ga-Adangbe ,Konkomba ,Guan ,Gurunsi ,kusasi ,Bissa
66	Greece	Athens	 ,Greek	 ,Eastern Orthodoxy	 ,Greek
67	Grenada	St. George's		 ,Grenadian Creole English ,Grenadian Creole French	 ,African ,Mixed ,East Indian
68	Guatemala	La Granadera			
69	Guinea				 ,Fulani ,Mandinka ,Susu
70	Guinea-Bissau			 ,Portuguese	 ,Upper Guinea Creole
71	Guyana			 ,English	 ,Akawaio ,Macushi ,Waiwai ,Arawak (Lokono) ,Patamona ,Warrau ,Carib ,Wapishana ,Pemon (Arekuna) ,Mawayana
72	Haiti			 ,French ,Haitian Creole	 ,black ,mixed ,white
73	Honduras			 ,Spanish	 ,Mestizo ,Amerindian ,Afro-Honduran
74	Hungary	Hungarian	 ,Hungarians ,Romani ,Germans	 ,Christianity ,Catholicism ,Protestantism ,Orthodox Church ,Judaism ,Buddhism	 ,Hungarian
75	Iceland	Reykjavík	 ,Icelandic	 ,Icelandic ,Polish ,Lithuanian	 ,Religion in Iceland
76	India				 ,Hindi ,English
77	Indonesia	Jakarta	 ,Indonesian	 ,700 languages	 ,300 ethnic groups
78	Iran	Tehran	 ,Persian	 ,Persian ,Azerbaijani ,Turkic dialects ,Qashqai ,Turkmen ,Kurdish ,Gilak ,Mazanderani ,Luri ,Balochi ,Arabic ,Armenian ,Assyrian ,Georgian ,Laki ,Semnani ,Talysh ,Tati	 ,Persian ,Azerbaijani ,Kurdish ,Lur ,Bakhtiari ,Turkmen ,other Turkic tribes ,Baloch ,Arab
79	Iraq	Baghdad	 ,Arabic ,Kurdish	 ,Islam	 ,Iraqi
80	Ireland		 ,Atlantic Ocean		
81	Israel	Jerusalem	 ,Hebrew	 ,Arabic	 ,Jewish ,Arab ,other
82	Italy	Rome	 ,Italian	 ,see full list	 ,Italians
83	Jamaica			 ,English	 ,Jamaican Patois ,de facto
84	Japan	Tokyo	 ,Japanese	 ,Japanese ,Korean ,Chinese ,Other	 ,Shinto ,Buddhism ,Shinto sects ,Christianity
85	Jordan			 ,Arabic	 ,Arab ,Circassian ,Chechens ,Armenian
86	Kazakhstan	Almaty	 ,Kazakh ,Russian	 ,Cyrillic ,Latin	 ,Kazakh ,Russian ,Uzbek ,Ukrainian ,Uyghur ,Tatar ,German ,others
87	Kenya				 ,English ,Swahili
88	Kiribati				 ,English ,Gilbertese
89	Kosovo	Pristina	 ,Albanian ,Serbian	 ,Bosnian ,Turkish ,Romani	
90	Kuwait	Kuwait City	 ,Arabic	 ,Kuwaiti ,Arabs	 ,Islam ,Christianity
91	Kyrgyzstan	Kyrgyz	 ,Kyrgyz ,Uzbek ,Russian ,Dungan ,Other	 ,Islam ,Christianity	
92	Laos			 ,Pheng Xat Lao	
93	Latvia	Latvian		 ,Latvian	 ,Unitary ,parliamentary ,constitutional republic
94	Lebanon	Beirut	 ,Arabic	 ,Lebanese Arabic	 ,Muslim ,Christian ,Druze
95	Lesotho			 ,Sesotho ,English	 ,Basotho
96	Liberia			 ,English	 ,Liberian English
97	Libya	Tripoli	 ,Arabic	 ,Libyan Arabic ,Berber	 ,Teda ,Italian
98	Liechtenstein		 ,Vaduz		 ,German
99	Lithuania	Vilnius	 ,Lithuanian	 ,Polish ,Russian	 ,Lithuanians ,Poles ,Russians ,Belarusians ,Ukrainians ,other
100	Luxembourg	Luxembourg City	 ,Luxembourgish ,French ,German	 ,Luxembourgers ,Portuguese ,French ,Germans	
101	Madagascar			 ,Malagasy ,French	 ,Merina ,Betsimisaraka ,Betsileo ,Tsimihety ,Sakalava ,Antaisaka ,Antandroy ,others
102	Malawi	Lilongwe	 ,English ,Chichewa	 ,Yao ,Tumbuka ,Tonga ,Sena ,Lomwe ,Ngonde ,Lambya	 ,Chewa ,Lomwe ,Yao ,Ngoni ,Tumbuka ,Nyanja ,Sena ,Mang'anja ,Tonga ,Ngonde ,Lambya ,Sukwa
103	Malaysia	Kuala Lumpur		 ,Malay	 ,English
104	Maldives	Malé	 ,Dhivehi	 ,English	 ,Maldivians
105	Mali			 ,French	 ,Bambara
106	Malta	Valletta	 ,St. Paul's Bay	 ,Maltese ,English	 ,Italian
107	Marshall_Islands		 ,free association		 ,English ,Marshallese
108	Mauritania				 ,Arabic
109	Mauritius				 ,Creole ,Bhojpuri ,French
110	Mexico	federal level	 ,Spanish ,Amerindian languages	 ,Spanish	 ,56 Amerindian ,diverse foreign ethnic groups
111	Micronesia	Kiribati	 ,Marshall Islands	 ,Nauru	 ,Northern Mariana Islands
112	Moldova	Chișinău	 ,Romanian ,Moldovan	 ,Bulgarian ,Gagauz ,Ukrainian	 ,Russian
113	Monaco	Monaco-Ville	 ,Monte Carlo	 ,French	 ,Monégasque ,Italian ,Occitan ,Provençal
114	Mongolia	Mongolian	 ,Mongolian Cyrillic ,Mongolian script	 ,Mongols ,Kazakhs	 ,Buddhism ,Islam ,Shamanism ,Christianity
115	Montenegro	Podgorica	 ,Montenegrin ,Serbian ,Bosnian ,Albanian ,Croatian	 ,Latin ,Cyrillic	 ,Montenegrins ,Serbs ,Bosniaks ,Albanians ,Croats
116	Morocco	Rabat		 ,Arabic ,Berber	 ,Moroccan Arabic ,Berber ,Hassaniya Arabic
117	Mozambique	Portuguese		 ,Unitary ,dominant-party ,semi-presidential ,constitutional republic	
118	Myanmar	Naypyidaw	 ,Yangon	 ,Burmese	 ,Kachin ,Kayah ,Karen ,Chin ,Mon ,Rakhine ,Shan
119	Namibia	[5]			
120	Nauru	de jure	 ,Denigomodu	 ,Nauruan ,English	 ,Nauruan ,Pacific Islander
121	Nepal			 ,Nepali	 ,All languages used in Nepal
122	Netherlands			 ,The Hague	 ,Dutch
123	New_Zealand	Auckland	 ,English ,Māori ,NZ Sign Language	 ,European ,Māori ,Asian ,Pacific peoples ,ME ,LA ,African	 ,New Zealander ,Kiwi
124	Nicaragua			 ,Spanish	 ,English ,Miskito ,Rama ,Sumo ,Miskito Coastal Creole ,Garifuna ,Rama Cay Creole
